date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:56	2052/2052	---M-Z	200	added ('OK')	application/javascript	etag:%22804-57362ccf93b42-gzip%22	http://dreamguys.co.in/demo/medifab/blue/assets/js/theme.js	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/js/theme.js	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:57	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f6f-57362c9d2e1d1%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.eot	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.eot	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/bootstrap.min.css)
15:14:58	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f6f-57362c9d2e1d1%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.eot?	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/bootstrap.min.css)
15:15:05	261249/261249	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2009:44:58%20GMT	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.woff2	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.woff2	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/bootstrap.min.css)
15:15:07	23320/23320	---M--	200	added ('OK')	application/x-font-woff	etag:%225b18-57362ca2ad3d5%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.woff	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.woff	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/bootstrap.min.css)
15:15:09	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	etag:%22a140-57362ca22198e%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.ttf	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.ttf	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/bootstrap.min.css)
15:15:10	62927/62927	---M--	200	added ('OK')	image/svg+xml	etag:%22f5cf-57362c9fbc604%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.svg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/glyphicons-halflings-regular.svg	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/bootstrap.min.css)
15:15:22	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-57362c9a0f1d8%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont3e6e.html	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/font-awesome.min.css)
15:15:24	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-57362c954f248%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont.eot?v=4.7.0	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont3e6e.eot	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/font-awesome.min.css)
15:15:35	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-57362c95d047f%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont.svg?v=4.7.0	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont3e6e.svg	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/font-awesome.min.css)
15:15:37	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-57362c954f248%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont.eot?	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfontd41d.eot	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/font-awesome.min.css)
15:15:37	98024/98024	---M--	200	added ('OK')	application/x-font-woff	etag:%2217ee8-57362c9888065%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont.woff?v=4.7.0	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont3e6e.woff	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/font-awesome.min.css)
15:15:43	261249/261249	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2009:45:36%20GMT	http://dreamguys.co.in/demo/medifab/blue/assets/css/owl.video.play.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/css/owl.video.play.40.delayed	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/owl.carousel.css)
15:15:46	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%22286ac-57362c970ab9a%22	http://dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/fonts/fontawesome-webfont3e6e.ttf	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/font-awesome.min.css)
15:15:47	1417/1417	---M--	200	added ('OK')	image/png	etag:%22589-57362cad836ee%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/calander.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/calander.png	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/style.css)
15:15:49	73152/73152	---M--	200	added ('OK')	image/jpeg	etag:%2211dc0-57362ca58823f%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/bg.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/bg.jpg	(from http://dreamguys.co.in/demo/medifab/blue/assets/css/style.css)
15:15:51	18123/18123	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2009:45:51%20GMT	http://dreamguys.co.in/demo/medifab/blue/service-details.html	F:/hospital/dreamguys.co.in/demo/medifab/blue/service-details.html	(from http://dreamguys.co.in/demo/medifab/blue/services.html)
15:15:55	86571/86571	---M-Z	200	added ('OK')	application/javascript	etag:%221522b-57362ccaef140-gzip%22	http://dreamguys.co.in/demo/medifab/blue/assets/js/jquery-3.2.1.min.js	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/js/jquery-3.2.1.min.js	(from http://dreamguys.co.in/demo/medifab/blue/services.html)
15:15:58	35363/35363	---M--	200	added ('OK')	image/jpeg	etag:%228a23-57362cb3c5dd0%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-06.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-06.jpg	(from http://dreamguys.co.in/demo/medifab/blue/doctors.html)
15:16:00	32718/32718	---M--	200	added ('OK')	image/jpeg	etag:%227fce-57362cb6178d9%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-09.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-09.jpg	(from http://dreamguys.co.in/demo/medifab/blue/doctors.html)
15:16:02	37115/37115	---M--	200	added ('OK')	image/jpeg	etag:%2290fb-57362caf42e80%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-01.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-01.jpg	(from http://dreamguys.co.in/demo/medifab/blue/doctors.html)
